ANIO_VIAJE,MES_VIAJE,LOCATION_ID_SALIDA,ZONE_SALIDA,LOCATION_ID_LLEGADA,ZONE_LLEGADA,Borough_SALIDA,Borough_LLEGADA,TOTAL_VIAJES,TRIP_DISTANCE,TOTAL_TARIFA
2011,1,45,Chinatown,60,Crotona Park East,Manhattan,Bronx,2,27.88,70.2
2011,1,61,Crown Heights North,42,Central Harlem North,Brooklyn,Manhattan,2,29.5,68.6
2011,1,89,Flatbush/Ditmas Park,68,East Chelsea,Brooklyn,Manhattan,2,13.399999999999999,37.0
2011,1,116,Hamilton Heights,66,DUMBO/Vinegar Hill,Manhattan,Brooklyn,1,12.65,30.5
2011,1,115,Grymes Hill/Clifton,79,East Village,Staten Island,Manhattan,1,1.0,5.7
2011,1,79,East Village,33,Brooklyn Heights,Manhattan,Brooklyn,2226,9141.61999999998,28669.79999999999
2011,1,80,East Williamsburg,97,Fort Greene,Brooklyn,Brooklyn,146,449.46999999999986,1458.5999999999997
2011,1,105,Governor's Island/Ellis Island/Liberty Island,22,Bensonhurst West,Manhattan,Brooklyn,1,11.2,105.0
2011,1,45,Chinatown,49,Clinton Hill,Manhattan,Brooklyn,192,632.6700000000001,2123.200000000001
2011,1,74,East Harlem North,18,Bedford Park,Manhattan,Bronx,17,110.27999999999999,337.7
2011,1,40,Carroll Gardens,4,Alphabet City,Brooklyn,Manhattan,95,523.04,1475.5000000000002
2011,1,24,Bloomingdale,80,East Williamsburg,Manhattan,Brooklyn,15,155.82000000000002,411.1
2011,1,107,Gramercy,61,Crown Heights North,Manhattan,Brooklyn,324,2204.7399999999993,6354.400000000003
2011,1,7,Astoria,40,Carroll Gardens,Queens,Brooklyn,16,165.8,409.20000000000005
2011,1,79,East Village,127,Inwood,Manhattan,Manhattan,215,2555.829999999999,6177.099999999995
2011,1,24,Bloomingdale,61,Crown Heights North,Manhattan,Brooklyn,10,132.81,341.79999999999995
2011,1,11,Bath Beach,7,Astoria,Brooklyn,Queens,1,19.8,42.9
2011,1,24,Bloomingdale,37,Bushwick South,Manhattan,Brooklyn,6,66.1,171.39999999999998
2011,1,68,East Chelsea,37,Bushwick South,Manhattan,Brooklyn,266,1746.6200000000001,5402.199999999998
2011,1,68,East Chelsea,102,Glendale,Manhattan,Queens,14,144.27,372.19999999999993
2011,1,10,Baisley Park,48,Clinton East,Queens,Manhattan,42,615.2500000000001,1809.8
2011,1,7,Astoria,66,DUMBO/Vinegar Hill,Queens,Brooklyn,29,262.3,630.5000000000001
2011,1,10,Baisley Park,42,Central Harlem North,Queens,Manhattan,3,49.76,135.0
2011,1,87,Financial District North,62,Crown Heights South,Manhattan,Brooklyn,24,132.96999999999997,404.40000000000003
2011,1,17,Bedford,22,Bensonhurst West,Brooklyn,Brooklyn,1,11.3,29.3
2011,1,56,Corona,57,Corona,Queens,Queens,2,12.61,36.6
2011,1,113,Greenwich Village North,115,Grymes Hill/Clifton,Manhattan,Staten Island,5,67.04,196.49999999999997
2011,1,121,Hillcrest/Pomonok,92,Flushing,Queens,Queens,4,14.489999999999998,50.400000000000006
2011,1,68,East Chelsea,44,Charleston/Tottenville,Manhattan,Staten Island,2,55.4,119.8
2011,1,2,Jamaica Bay,90,Flatiron,Queens,Manhattan,1,2.08,7.3
2011,1,71,East Flatbush/Farragut,36,Bushwick North,Brooklyn,Brooklyn,1,5.49,18.5
2011,1,49,Clinton Hill,71,East Flatbush/Farragut,Brooklyn,Brooklyn,3,14.72,52.3
2011,1,26,Borough Park,72,East Flatbush/Remsen Village,Brooklyn,Brooklyn,1,5.92,16.9
2011,1,48,Clinton East,22,Bensonhurst West,Manhattan,Brooklyn,64,991.4400000000002,2371.2000000000003
2011,1,74,East Harlem North,75,East Harlem South,Manhattan,Manhattan,4496,4548.250000000015,23418.00000000008
2011,1,79,East Village,88,Financial District South,Manhattan,Manhattan,1843,6189.0499999999965,19621.899999999954
2011,1,107,Gramercy,112,Greenpoint,Manhattan,Brooklyn,681,3281.810000000003,9913.699999999999
2011,1,80,East Williamsburg,17,Bedford,Brooklyn,Brooklyn,275,616.0100000000007,2383.6000000000004
2011,1,50,Clinton West,125,Hudson Sq,Manhattan,Manhattan,642,2085.7000000000003,7179.800000000015
2011,1,113,Greenwich Village North,7,Astoria,Manhattan,Queens,580,3671.06,10421.599999999997
2011,1,59,Crotona Park,20,Belmont,Bronx,Bronx,1,1.6,6.9
2011,1,80,East Williamsburg,13,Battery Park City,Brooklyn,Manhattan,10,56.589999999999996,177.4
2011,1,114,Greenwich Village South,92,Flushing,Manhattan,Queens,15,214.58,520.3000000000001
2011,1,13,Battery Park City,40,Carroll Gardens,Manhattan,Brooklyn,141,565.0100000000002,1737.6999999999991
2011,1,95,Forest Hills,124,Howard Beach,Queens,Queens,47,246.28000000000003,719.5
2011,1,93,Flushing Meadows-Corona Park,68,East Chelsea,Queens,Manhattan,16,158.84,698.7
2011,1,13,Battery Park City,62,Crown Heights South,Manhattan,Brooklyn,27,193.29999999999998,577.5
2011,1,83,Elmhurst/Maspeth,74,East Harlem North,Queens,Manhattan,19,133.46,346.3
2011,1,22,Bensonhurst West,88,Financial District South,Brooklyn,Manhattan,2,19.1,47.0
2011,1,87,Financial District North,32,Bronxdale,Manhattan,Bronx,3,48.629999999999995,109.1
2011,1,99,Freshkills Park,118,Heartland Village/Todt Hill,Staten Island,Staten Island,3,6.16,23.499999999999996
2011,1,41,Central Harlem,14,Bay Ridge,Manhattan,Brooklyn,8,125.55000000000001,329.59999999999997
2011,1,24,Bloomingdale,40,Carroll Gardens,Manhattan,Brooklyn,4,46.03,116.80000000000001
2011,1,21,Bensonhurst East,88,Financial District South,Brooklyn,Manhattan,3,11.030000000000001,31.5
2011,1,96,Forest Park/Highland Park,76,East New York,Queens,Brooklyn,2,3.95,13.799999999999999
2011,1,112,Greenpoint,70,East Elmhurst,Brooklyn,Queens,3,18.790000000000003,47.900000000000006
2011,1,1,Newark Airport,68,East Chelsea,EWR,Manhattan,1,15.31,33.7
2011,1,102,Glendale,100,Garment District,Queens,Manhattan,1,9.4,23.7
2011,1,56,Corona,94,Fordham South,Queens,Bronx,1,2.51,10.9
2011,1,8,Astoria Park,113,Greenwich Village North,Queens,Manhattan,1,6.79,16.9
2011,1,56,Corona,50,Clinton West,Queens,Manhattan,1,1.36,5.7
2011,1,107,Gramercy,75,East Harlem South,Manhattan,Manhattan,1760,7829.279999999994,23462.79999999999
2011,1,4,Alphabet City,125,Hudson Sq,Manhattan,Manhattan,678,1204.6200000000008,5478.9999999999945
2011,1,79,East Village,17,Bedford,Manhattan,Brooklyn,1315,5741.839999999997,18372.40000000003
2011,1,113,Greenwich Village North,48,Clinton East,Manhattan,Manhattan,3728,9802.340000000002,37043.199999999946
2011,1,125,Hudson Sq,52,Cobble Hill,Manhattan,Brooklyn,156,579.6400000000002,1876.3999999999996
2011,1,83,Elmhurst/Maspeth,48,Clinton East,Queens,Manhattan,12,73.82000000000001,228.40000000000003
2011,1,13,Battery Park City,75,East Harlem South,Manhattan,Manhattan,193,1720.2900000000009,4406.900000000001
2011,1,34,Brooklyn Navy Yard,25,Boerum Hill,Brooklyn,Brooklyn,7,23.240000000000002,78.3
2011,1,97,Fort Greene,116,Hamilton Heights,Brooklyn,Manhattan,16,216.49999999999997,531.2
2011,1,114,Greenwich Village South,67,Dyker Heights,Manhattan,Brooklyn,62,593.2400000000001,1480.9999999999995
2011,1,97,Fort Greene,1,Newark Airport,Brooklyn,EWR,4,66.32,217.8
2011,1,47,Claremont/Bathgate,69,East Concourse/Concourse Village,Bronx,Bronx,10,27.300000000000004,100.20000000000002
2011,1,113,Greenwich Village North,22,Bensonhurst West,Manhattan,Brooklyn,31,375.46,936.3000000000002
2011,1,90,Flatiron,67,Dyker Heights,Manhattan,Brooklyn,34,378.63,931.8000000000003
2011,1,68,East Chelsea,12,Battery Park,Manhattan,Manhattan,197,742.3000000000002,2497.300000000001
2011,1,79,East Village,69,East Concourse/Concourse Village,Manhattan,Bronx,96,887.23,2259.6
2011,1,12,Battery Park,48,Clinton East,Manhattan,Manhattan,114,549.0,1687.8
2011,1,48,Clinton East,83,Elmhurst/Maspeth,Manhattan,Queens,116,743.5199999999999,2091.5999999999995
